Recording Name,Model Name,Score
F1.3.1,F1.128,-49.07232867840457
F1.3.1,F11.128,-3532.643913155281
F1.3.1,F2.128,-615.6041890840537
F1.3.1,F3 .128,-134.99043817203028
F1.3.1,F4.128,-409.68372074104525
F1.3.1,F5.128,-493.044647795735
F1.3.1,F6.128,-82.17071094913126
F1.3.1,F7.128,-767.6572700462585
F1.3.1,F8.128,-75.87054720737233
F1.3.1,F9.128,-3136.5974540274547
F1.3.10,F1.128,-50.23815409453182
F1.3.10,F11.128,-3447.6573920754263
F1.3.10,F2.128,-669.3518410941412
F1.3.10,F3 .128,-132.92410393259095
F1.3.10,F4.128,-377.23702933067756
F1.3.10,F5.128,-457.09934512388156
F1.3.10,F6.128,-80.58793166100025
F1.3.10,F7.128,-811.4558425686239
F1.3.10,F8.128,-78.85212824684147
F1.3.10,F9.128,-2893.665621570207
F1.3.11,F1.128,-51.26065073626707
F1.3.11,F11.128,-3321.894031196703
F1.3.11,F2.128,-645.8580035785177
F1.3.11,F3 .128,-130.4310567994691
F1.3.11,F4.128,-341.1207970450197
F1.3.11,F5.128,-404.7935776853424
F1.3.11,F6.128,-83.23770142693242
F1.3.11,F7.128,-775.716113010983
F1.3.11,F8.128,-84.92984050158705
F1.3.11,F9.128,-2527.2229373702444
F1.3.12,F1.128,-49.7827525064467
F1.3.12,F11.128,-3396.738910286037
F1.3.12,F2.128,-727.3865701950531
F1.3.12,F3 .128,-127.47601594807784
F1.3.12,F4.128,-338.97279471836663
F1.3.12,F5.128,-407.0817497418814
F1.3.12,F6.128,-79.92591530560408
F1.3.12,F7.128,-848.7167729681269
F1.3.12,F8.128,-77.3183327734572
F1.3.12,F9.128,-2669.9896715894947
F1.3.13,F1.128,-50.42743921216721
F1.3.13,F11.128,-3301.2717676609186
F1.3.13,F2.128,-667.0237145032637
F1.3.13,F3 .128,-129.16031793943145
F1.3.13,F4.128,-355.74151769532835
F1.3.13,F5.128,-423.08052546759956
F1.3.13,F6.128,-81.9766354849879
F1.3.13,F7.128,-812.0830236239564
F1.3.13,F8.128,-78.9275407415118
F1.3.13,F9.128,-2691.2652900502617
F1.3.14,F1.128,-50.123497923403555
F1.3.14,F11.128,-2801.9973196215055
F1.3.14,F2.128,-707.7726887994286
F1.3.14,F3 .128,-129.56505123082937
F1.3.14,F4.128,-302.13854035210454
F1.3.14,F5.128,-358.8347267785279
F1.3.14,F6.128,-82.11304421763555
F1.3.14,F7.128,-822.4649854400241
F1.3.14,F8.128,-79.95034110067914
F1.3.14,F9.128,-2377.1091618836836
F1.3.15,F1.128,-48.85488832180319
F1.3.15,F11.128,-3527.0814883242338
F1.3.15,F2.128,-627.4221231000657
F1.3.15,F3 .128,-131.5711846408231
F1.3.15,F4.128,-380.2605504541661
F1.3.15,F5.128,-441.5129562255423
F1.3.15,F6.128,-81.94243669401509
F1.3.15,F7.128,-785.3087983753974
F1.3.15,F8.128,-76.29516837747501
F1.3.15,F9.128,-3000.80112579088
F1.3.16,F1.128,-47.085534603393896
F1.3.16,F11.128,-3672.0079037661776
F1.3.16,F2.128,-677.3190613634406
F1.3.16,F3 .128,-136.18495800179562
F1.3.16,F4.128,-432.6226455790198
F1.3.16,F5.128,-522.11547294008
F1.3.16,F6.128,-80.4958962272615
F1.3.16,F7.128,-828.4501581001055
F1.3.16,F8.128,-70.56296573909808
F1.3.16,F9.128,-3418.8624644768192
F1.3.17,F1.128,-50.48654520022931
F1.3.17,F11.128,-3781.0975695947764
F1.3.17,F2.128,-605.8802682850064
F1.3.17,F3 .128,-132.98595207139027
