Recording Name,Model Name,Score
F1.30.1,F1.512,-85.60123694345708
F1.30.1,F11.512,-4663.543662915601
F1.30.1,F2.512,-768.078735164373
F1.30.1,F3 .512,-212.03877309186987
F1.30.1,F4.512,-375.4369001829679
F1.30.1,F5.512,-455.55303469723447
F1.30.1,F6.512,-150.43390121673949
F1.30.1,F7.512,-860.2173944759365
F1.30.1,F8.512,-119.80479285279951
F1.30.1,F9.512,-3516.7565786390296
F1.30.2,F1.512,-84.86718042058386
F1.30.2,F11.512,-4657.472864539407
F1.30.2,F2.512,-727.3950811432532
F1.30.2,F3 .512,-215.42680924311688
F1.30.2,F4.512,-371.3410123729841
F1.30.2,F5.512,-444.1294983128494
F1.30.2,F6.512,-149.7631518999047
F1.30.2,F7.512,-831.2225910409791
F1.30.2,F8.512,-122.29328141545652
F1.30.2,F9.512,-3457.755298838185
F11.30.1,F1.512,-445.91245702947464
F11.30.1,F11.512,-48.542184311596536
F11.30.1,F2.512,-298.485668688836
F11.30.1,F3 .512,-285.2075754838511
F11.30.1,F4.512,-1166.8662307132577
F11.30.1,F5.512,-1421.6548727644388
F11.30.1,F6.512,-160.20607148218318
F11.30.1,F7.512,-294.84376960276904
F11.30.1,F8.512,-148.59740628302697
F11.30.1,F9.512,-212.477878145455
F11.30.2,F1.512,-399.6372691681598
F11.30.2,F11.512,-48.01666620174758
F11.30.2,F2.512,-271.68813303552935
F11.30.2,F3 .512,-262.5176672986779
F11.30.2,F4.512,-1181.4890907622696
F11.30.2,F5.512,-1397.4656413561943
F11.30.2,F6.512,-151.74588062208434
F11.30.2,F7.512,-276.87712114705545
F11.30.2,F8.512,-142.26860450945938
F11.30.2,F9.512,-210.24727059473778
F2.30.1,F1.512,-280.091658305762
F2.30.1,F11.512,-517.0619818092373
F2.30.1,F2.512,-49.22133382307319
F2.30.1,F3 .512,-159.78958634965966
F2.30.1,F4.512,-624.9597700910316
F2.30.1,F5.512,-743.2221639669212
F2.30.1,F6.512,-226.68487034464627
F2.30.1,F7.512,-60.99699148062603
F2.30.1,F8.512,-145.40727968476432
F2.30.1,F9.512,-307.35567756426434
F2.30.2,F1.512,-302.9852871852932
F2.30.2,F11.512,-616.2420225394372
F2.30.2,F2.512,-46.48528491865265
F2.30.2,F3 .512,-158.10762156591005
F2.30.2,F4.512,-566.4172491675613
F2.30.2,F5.512,-682.5993611175907
F2.30.2,F6.512,-274.08585022546004
F2.30.2,F7.512,-55.59095777493133
F2.30.2,F8.512,-160.3765616074359
F2.30.2,F9.512,-315.314132341205
F3.30.1,F1.512,-504.0068782250896
F3.30.1,F11.512,-2834.857576813457
F3.30.1,F2.512,-446.7691674591699
F3.30.1,F3 .512,-76.40808716422725
F3.30.1,F4.512,-2510.1932849242276
F3.30.1,F5.512,-2600.603657710345
F3.30.1,F6.512,-169.68267763006082
F3.30.1,F7.512,-533.5002841130289
F3.30.1,F8.512,-116.33571899811798
F3.30.1,F9.512,-1282.8571221255304
F3.30.2,F1.512,-504.9960746549776
F3.30.2,F11.512,-2856.234205639105
F3.30.2,F2.512,-469.2853013366521
F3.30.2,F3 .512,-79.59365604564927
F3.30.2,F4.512,-2452.7775218931133
F3.30.2,F5.512,-2672.481480652444
F3.30.2,F6.512,-169.83021784095865
F3.30.2,F7.512,-540.8788217987504
F3.30.2,F8.512,-113.5495467567296
F3.30.2,F9.512,-1216.073587902214
F4.30.1,F1.512,-225.86701190996277
F4.30.1,F11.512,-2466.1089508105542
F4.30.1,F2.512,-1531.3521730279076
F4.30.1,F3 .512,-290.64277323931145
F4.30.1,F4.512,-51.013828621634815
F4.30.1,F5.512,-55.018179288358084
F4.30.1,F6.512,-164.69107650050094
F4.30.1,F7.512,-1441.7816697266844
F4.30.1,F8.512,-166.098110137588
F4.30.1,F9.512,-2501.5670295544396
F4.30.2,F1.512,-220.05023257188506
F4.30.2,F11.512,-2393.6874218162266
F4.30.2,F2.512,-1409.1322585282926
F4.30.2,F3 .512,-278.18701221786733
